Mersin,Lokanta,Sokak Lezzetleri,4.5,24,"36.7660298,34.5444668"
Mersin,eczane,Haci Nuri Kutru Mescidi,5.0,20,"36.7701696,34.54859"
Mersin,cami,Mezitli Fatih Cami,4.9,14,"36.76284,34.5468611"
Mersin,eczane,İl Özel İdaresi Cami,4.4,17,"36.7720371,34.5576195"
Mersin,mall,Forum Mersin AVM,4.4,38,"36.7852778,34.5886111"
Mersin,mall,Armada Avm,4.0,50,"36.784651,34.6181"
Mersin,mall,Sayapark AVM,4.4,49,"36.7681133,34.5526644"
Mersin,mall,Palm City AVM,4.3,28,"36.8015417,34.5956387"
Mersin,mall,SOLİ CENTER AVM,3.8,20,"36.7364682,34.5158271"
Mersin,mall,Tarsu Alışveriş Merkezi,4.1,35,"36.9202278,34.90426"
Mersin,eczane,Özel Mersin Akademi Hastanesi,3.4,26,"36.7922987,34.5824662"
Mersin,eczane,Tarsus Devlet Hastanesi,2.3,33,"36.9141432,34.9052252"
Mersin,eczane,Özel Mersin Su Hastanesi,3.5,48,"36.8079153,34.6182573"
Mersin,eczane,Forum Yaşam Hastanesi,3.0,31,"36.789662,34.587686"
Mersin,eczane,VM Medical Park Mersin Hastanesi,4.1,47,"36.7591429,34.5445585"
Mersin,eczane,Mersin Şehir Hastanesi,3.8,50,"36.8563591,34.6093885"
Mersin,eczane,Özel Mersin Yenişehir Hastanesi,3.5,39,"36.7830318,34.5919677"
Mersin,eczane,Özel IMC Hastanesi,3.6,33,"36.7943552,34.6157769"
Mersin,eczane,Özel Mersin Ortadoğu Hastanesi,3.3,19,"36.7637497,34.5483657"
Mersin,eczane,Özel Tarsus Hastanesi (Eski Ömer Sayar hastanesi),3.5,15,"36.913709,34.8820858"
Mersin,eczane,Mersin Toros Devlet Hastanesi,3.5,14,"36.8061356,34.6345426"
Mersin,eczane,Özel Modern Tıp Merkezi,3.7,11,"36.8182713,34.6083632"
